S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
102,Rajanna,2019 - 2020,Kharif,cotton(lint),236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,4.9
103,Rangareddy,2014 - 2015,Kharif,cotton(lint),71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,1.74
104,Rangareddy,2015 - 2016,Kharif,cotton(lint),96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,1.49
105,Rangareddy,2016 - 2017,Kharif,cotton(lint),133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,1.6
106,Rangareddy,2017 - 2018,Kharif,cotton(lint),161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,2.21
107,Rangareddy,2018 - 2019,Kharif,cotton(lint),83.84,,,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,1.24
108,Rangareddy,2019 - 2020,Kharif,cotton(lint),134.92,19,44.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.93,2.72
109,Sangareddy,2016 - 2017,Kharif,cotton(lint),213.84,24.8,35.5,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,23.9,2.14
110,Sangareddy,2017 - 2018,Kharif,cotton(lint),163.86,26.5,35.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,19.45,3.92
111,Sangareddy,2018 - 2019,Kharif,cotton(lint),86.58,,,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,17.53,1.9
112,Sangareddy,2019 - 2020,Kharif,cotton(lint),150.16,18.2,44.7,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,24.12,3.21
113,Siddipet,2016 - 2017,Kharif,cotton(lint),187.62,26.4,37.3,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,28.74,2.14
114,Siddipet,2017 - 2018,Kharif,cotton(lint),146.18,27.5,35.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.03,3.39
115,Siddipet,2018 - 2019,Kharif,cotton(lint),93.34,,,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.68,1.71
116,Siddipet,2019 - 2020,Kharif,cotton(lint),196.26,19.4,44.7,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,20.55,3.42
117,Suryapet,2016 - 2017,Kharif,cotton(lint),109.5,27.2,36.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,14.86,1.65
118,Suryapet,2017 - 2018,Kharif,cotton(lint),117.74,28.1,37.3,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.72,3.3
119,Suryapet,2018 - 2019,Kharif,cotton(lint),124.22,,,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.53,3.29
120,Suryapet,2019 - 2020,Kharif,cotton(lint),114.67,21.4,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.84,3.29
121,Vikarabad,2016 - 2017,Kharif,cotton(lint),197.64,26.1,34.1,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,19.05,1.6
122,Vikarabad,2017 - 2018,Kharif,cotton(lint),138.32,24.9,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,14.68,2.56
123,Vikarabad,2018 - 2019,Kharif,cotton(lint),93.6,,,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.05,2.1
124,Vikarabad,2019 - 2020,Kharif,cotton(lint),140.16,18.8,42.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,20.47,2.89
125,Wanaparthy,2016 - 2017,Kharif,cotton(lint),114.72,26.1,35.3,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,12.14,1.75
126,Wanaparthy,2017 - 2018,Kharif,cotton(lint),126.98,25.8,36.1,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,10.06,2.75
127,Wanaparthy,2018 - 2019,Kharif,cotton(lint),72.24,,,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.32,1.48
128,Wanaparthy,2019 - 2020,Kharif,cotton(lint),131.1,19.8,43,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.63,3.39
129,Warangal,2014 - 2015,Kharif,cotton(lint),124.5,28.3,39.5,7.56,209,49,552,1.24,24.42,1.87,9.59,,2.66
130,Warangal,2015 - 2016,Kharif,cotton(lint),187.74,28.1,37.4,7.56,209,49,552,1.24,24.42,1.87,9.59,,2.56
131,Warangal,2016 - 2017,Kharif,cotton(lint),230.26,26.4,38.5,7.56,209,49,552,1.24,24.42,1.87,9.59,11.4,3.03
132,Warangal,2017 - 2018,Kharif,cotton(lint),180.36,28.9,37.3,7.56,209,49,552,1.24,24.42,1.87,9.59,9.46,1.7
133,Warangal,2018 - 2019,Kharif,cotton(lint),137.6,,,7.56,209,49,552,1.24,24.42,1.87,9.59,10.04,2.64
